#{"t_start": 1655252739.545968, "env_id": "CartPole-v1"}
r,l,t
330.0,330,62.566036
500.0,500,62.708494
500.0,500,62.809551
500.0,500,62.914599
500.0,500,63.021291
500.0,500,63.123102
419.0,419,63.78002
500.0,500,63.897999
500.0,500,63.996174
500.0,500,64.097541
500.0,500,64.194681
500.0,500,64.292011
500.0,500,64.411058
500.0,500,64.508661
500.0,500,64.605363
500.0,500,64.701344
500.0,500,64.810016
500.0,500,64.909908
500.0,500,65.035647
500.0,500,65.136248
500.0,500,65.238344
500.0,500,65.335322
500.0,500,65.432665
500.0,500,65.530458
500.0,500,65.645798
500.0,500,65.743248
500.0,500,65.841076
500.0,500,65.93768
500.0,500,66.034906
500.0,500,66.13187
500.0,500,66.817156
500.0,500,66.919621
500.0,500,67.017706
500.0,500,67.113812
500.0,500,67.2122
500.0,500,67.309435
500.0,500,67.425229
500.0,500,67.525439
500.0,500,67.633187
500.0,500,67.730053
500.0,500,67.827808
500.0,500,67.925455
500.0,500,68.045926
500.0,500,68.150031
500.0,500,68.263274
500.0,500,68.366415
500.0,500,68.467283
500.0,500,68.578909
500.0,500,68.70941
500.0,500,68.818044
500.0,500,68.927421
500.0,500,69.037971
500.0,500,69.209532
500.0,500,69.337975
500.0,500,70.152634
500.0,500,70.260152
500.0,500,70.364784
500.0,500,70.468751
500.0,500,70.575717
500.0,500,70.680757
500.0,500,70.81532
500.0,500,70.922483
500.0,500,71.027003
500.0,500,71.131104
500.0,500,71.236326
500.0,500,71.340421
500.0,500,71.467224
500.0,500,71.576966
500.0,500,71.682245
500.0,500,71.784476
500.0,500,71.888938
500.0,500,71.99251
500.0,500,72.114798
500.0,500,72.21897
500.0,500,72.318723
500.0,500,72.416992
500.0,500,72.513868
500.0,500,72.609393
500.0,500,73.292887
500.0,500,73.397893
500.0,500,73.49717
500.0,500,73.601102
500.0,500,73.70781
500.0,500,73.808364
500.0,500,73.928889
500.0,500,74.029226
500.0,500,74.126946
500.0,500,74.226516
500.0,500,74.323766
500.0,500,74.421834
500.0,500,74.536563
500.0,500,74.63306
500.0,500,74.730983
500.0,500,74.825998
500.0,500,74.925946
500.0,500,75.024185
500.0,500,75.137641
500.0,500,75.236207
500.0,500,75.337999
500.0,500,75.434188
500.0,500,75.530989
500.0,500,75.626966
500.0,500,76.319903
500.0,500,76.417098
500.0,500,76.514797
500.0,500,76.611119
500.0,500,76.706945
500.0,500,76.809079
500.0,500,76.934396
500.0,500,77.035287
500.0,500,77.132089
500.0,500,77.230682
500.0,500,77.327513
500.0,500,77.424994
500.0,500,77.540431
500.0,500,77.636529
500.0,500,77.73587
500.0,500,77.832556
500.0,500,77.929405
500.0,500,78.026406
500.0,500,78.146727
500.0,500,78.245616
500.0,500,78.342517
500.0,500,78.438523
500.0,500,78.535799
500.0,500,78.632143
500.0,500,79.311215
500.0,500,79.407214
500.0,500,79.504833
500.0,500,79.600031
500.0,500,79.69858
500.0,500,79.795455
500.0,500,79.910488
500.0,500,80.01177
500.0,500,80.108417
500.0,500,80.205557
500.0,500,80.302584
500.0,500,80.399172
500.0,500,80.51568
500.0,500,80.612672
500.0,500,80.714852
500.0,500,80.81245
500.0,500,80.911319
500.0,500,81.010534
500.0,500,81.133137
500.0,500,81.23816
500.0,500,81.337896
500.0,500,81.436343
500.0,500,81.534738
500.0,500,81.632328
500.0,500,82.318324
500.0,500,82.416227
500.0,500,82.517227
500.0,500,82.614316
500.0,500,82.71093
500.0,500,82.806593
500.0,500,82.924282
500.0,500,83.023784
500.0,500,83.120289
500.0,500,83.217425
500.0,500,83.314082
500.0,500,83.409147
500.0,500,83.529163
500.0,500,83.627827
500.0,500,83.725794
500.0,500,83.821489
500.0,500,83.919262
500.0,500,84.015311
500.0,500,84.129558
500.0,500,84.227894
500.0,500,84.324435
500.0,500,84.420462
500.0,500,84.51698
500.0,500,84.613599
500.0,500,84.727862
500.0,500,84.824381
500.0,500,84.923707
500.0,500,85.02077
500.0,500,85.117296
500.0,500,85.214514
500.0,500,85.887314
226.0,226,85.931028
500.0,500,86.027655
252.0,252,86.076807
256.0,256,86.125492
500.0,500,86.223494
500.0,500,86.34624
236.0,236,86.392447
500.0,500,86.490216
290.0,290,86.545542
272.0,272,86.598395
247.0,247,86.645725
500.0,500,86.761227
222.0,222,86.804244
500.0,500,86.904702
263.0,263,86.958293
253.0,253,87.00753
257.0,257,87.056807
500.0,500,87.172481
500.0,500,87.272199
256.0,256,87.321302
266.0,266,87.375625
500.0,500,87.475522
252.0,252,87.525455
500.0,500,88.199989
500.0,500,88.297735
500.0,500,88.402614
500.0,500,88.498876
500.0,500,88.595356
500.0,500,88.69338
500.0,500,88.810809
500.0,500,88.914666
500.0,500,89.01421
500.0,500,89.11046
500.0,500,89.206984
500.0,500,89.304006
500.0,500,89.419094
313.0,313,89.478915
500.0,500,89.576648
500.0,500,89.679925
500.0,500,89.776205
500.0,500,89.872116
500.0,500,89.986145
500.0,500,90.082298
500.0,500,90.179286
335.0,335,90.245565
500.0,500,90.341869
500.0,500,90.437032
500.0,500,91.114673
500.0,500,91.214889
500.0,500,91.315548
500.0,500,91.412811
241.0,241,91.459181
242.0,242,91.505681
500.0,500,91.626246
250.0,250,91.675794
258.0,258,91.726641
500.0,500,91.822658
223.0,223,91.864766
500.0,500,91.960132
500.0,500,92.075689
500.0,500,92.172329
500.0,500,92.271853
500.0,500,92.36769
231.0,231,92.41167
500.0,500,92.507463
500.0,500,92.621868
500.0,500,92.717942
500.0,500,92.815205
500.0,500,92.914972
500.0,500,93.011516
237.0,237,93.057843
500.0,500,93.750057
500.0,500,93.848629
500.0,500,93.948181
500.0,500,94.049221
500.0,500,94.147178
500.0,500,94.245617
500.0,500,94.361822
500.0,500,94.458321
500.0,500,94.555385
500.0,500,94.651487
500.0,500,94.74769
500.0,500,94.844749
500.0,500,94.963408
500.0,500,95.060973
500.0,500,95.15862
500.0,500,95.258801
500.0,500,95.355484
500.0,500,95.451317
500.0,500,95.566167
500.0,500,95.662291
500.0,500,95.759568
500.0,500,95.856585
500.0,500,95.952523
500.0,500,96.049083
500.0,500,96.723938
500.0,500,96.820056
500.0,500,96.918569
500.0,500,97.015077
500.0,500,97.111223
500.0,500,97.246502
500.0,500,97.365035
500.0,500,97.461761
500.0,500,97.559024
500.0,500,97.655737
500.0,500,97.752421
500.0,500,97.848177
500.0,500,97.962878
500.0,500,98.060514
500.0,500,98.158461
500.0,500,98.256406
500.0,500,98.353724
500.0,500,98.449903
500.0,500,98.565659
500.0,500,98.664439
500.0,500,98.763897
500.0,500,98.860869
500.0,500,98.960065
500.0,500,99.060114
500.0,500,99.749201
500.0,500,99.845597
500.0,500,99.941591
500.0,500,100.038369
500.0,500,100.135019
500.0,500,100.232782
500.0,500,100.349082
500.0,500,100.44798
500.0,500,100.547226
500.0,500,100.644399
500.0,500,100.743185
500.0,500,100.841492
500.0,500,100.959847
500.0,500,101.061528
500.0,500,101.159168
500.0,500,101.257641
500.0,500,101.386563
500.0,500,101.490838
500.0,500,101.608905
500.0,500,101.71016
500.0,500,101.808684
500.0,500,101.9058
